Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2	IntR1	IntR2	LocR1	LocR2	VarMiem1	VarMiem2	ComodínR1	ComodínR2	FelicidadResp1	FelicidadResp2
Podríem reunir-nos cada nit per ballar sota la llum de la Lluna?	Seria una activitat perfecta per unir al grup i connectar les nostres energies. 	Perfecte. 	No podeu fer això, no som salvatges. 	No podeu.	5	0	-10	0					10	-5
El grup se sent una mica decaigut, podríem projectar una pel·lícula aquesta nit?	Que sigui una de les de la nostra llibreria conjunta. 	Sí, però de les nostres. 	No, és que no els motiva el nostre propòsit?	No.	0	0	-10	-5					10	-10
Lupus i Maki es volen casar, els donaràs la teva benedicció?	Per descomptat, són la parella perfecta. 	Per descomptat. 	No estan preparats encara. 		5	0	-5	5					10	-5
Alguns membres suggereixen cremar cases per oferir als supervivents viure amb nosaltres i unir-se a la comunitat	Bona idea, les agafaríem en el seu moment de més necessitat. 	Bona idea. 	No, no és el correcte. 		5	-5	10	-10	10				5	-5
Alguns de nosaltres pensem que hauríem d'establir com a regla oficial reconèixer que la Terra es plana, què n'opines?	No farem això perquè no és cert. 		Em sembla bé, si els filòsofs poden escollir què és veritat i què no, nosaltres podem també. 	Sí, ho escollirem com a veritat. 	5	-5	-5	10					-5	5
Necessitem més activitats per unificar al grup, què hauríem de fer?	Realitzarem sessions de meditació. 		Anem a un parc d'atraccions. 		5	-5	0	-5					0	10
Necessites alguna cosa?	Demaneu-li a la resta de membres que em portin les seves ofrenes. 	Les ofrenes. 	Sí, necessito un massatge ara. 	Un massatge. 	-5	0	5	0					0	-5
Hem observat que alguns dels membres no han realitzat les seves ofrenes, què hauríem de fer?	Expulseu-los de la comunitat. 		Tanqueu-los durant uns dies perquè aprenguin la lliçó. 	Tancats aprendran la lliçó. 	5	0	0	5	-5				-5	-5
Alguns membres volen sacrificar vides per mostrar la seva lleialtat, els deixem?	Es permet qualsevol sacrifici que es realitzi en favor de la nostra comunitat. 	Ho permetré.	No, estarien matant sense cap sentit. 		-5	10	10	-10	-5				5	0
Podem llegir aquest llibre? Està d'acord amb les nostres creences?	No, tots els llibres de l'exterior estan prohibits. 		Crec que és prou similar, està bé. 	Concorda, endavant.	0	10	5	-10					-5	5
Entre els fidels tenim un dubte que no ens deixa dormir durant les nits, què va ser abans l'ou o la gallina?	L'ou. 		La gallina. 		5	0	0	5					-5	-5
Mikus i Loru ens han confessat que han perdut la seva fe, què fem amb ells?	Sacrifiqueu-los per donar-los una lliçó a la resta sobre què passa quan et desvies. 	Sacrifiqueu-los. 	Deixeu-los anar. 		-10	10	10	-10	-2				-10	0
Està sorgint a la nostra comunitat un gust per la natura, hauríem de cultivar plantes?	Sí, serà bo que conreïn la seva sensació de responsabilitat i connexió amb la natura. 	Sí, els vindrà bé. 	Tinc al·lèrgia al pol·len, no sigueu desconsiderats. 	Ni pensar-ho. 	5	0	-5	0			1		10	-5
Hauríem de manar tasques als membres?	Els vindria bé acomplir tasques de neteja i cura de la llar. 	Sí, a cuidar la nostra llar. 	Sí, que surtin a buscar donatius. 	Sí, a recollir donatius. 	5	-5	-5	5					-5	5
Convidem a més membres a viure amb nosaltres?	Sí, com més persones vivim sota sostre més progressarem. 	Sí, com més millor. 	No, que prenguin la iniciativa. 		-5	5	5	-5					5	-5
Alguns membres han suggerit que fem "salts a peu coix en cercle" per divertir-nos, ho fem?	Per descomptat, reviviu la vostra infància. 		No, teniu altres coses més importants per fer, ja no sou nens. 	No, no sigueu infantils.	0	0	-5	0					10	-5
Hem vist que hi ha molta gent sense sostre per la ciutat, els hauríem de convidar a unir-se?	Sí, com més membres millor. 		No, no sou els escollits. 		10	-5	-10	5					5	-5
Volíem establir una reunió per jugar a jocs de taula, ho aproves?	Sí, us vindria bé una distracció. 		No, a treballar. 		5	-5	-5	5					10	-5
Gika va robar a la seva veïna, l'hem de castigar?	No, probablement tenia un motiu. 		És clar, això no estaria bé. 		-10	5	5	-5					-5	5
Ens agradaria fer més plats d'espagueti, et ve de gust?	Nyam, nyam! Espagueti! Clar, clar. 	Clar, clar.	La veritat és que no soc fan. 	No soc fan. 	5	-5	-5	5					10	-5
Et va agradar el nostre pastís de xocolata?	Sí, hauríeu de fer més. 	Sí.	Millor regaleu-me els diners la pròxima vegada. 	Prefereixo diners. 	5	-5	-5	10					10	-10
Hi ha molts nens orfes, potser els podríem salvar?	Rescateu a tots els que pugueu, però que no us agafin els centres. 	Feu-ho, rescateu-los. 	Serien massa nens, millor que no. 	Millor que no. 	5	0	5	-5	15				10	-5
Hem pensat a infiltrar-nos en empreses per adoctrinar treballadors, ens dones el teu permís?	Confio en vosaltres. 		És una tasca massa complexa. 		-5	5	10	-5	5			1	5	-5
Podem quedar a una piscina i portar gelats per tothom?	Serà divertit, deixeu-me el gelat de vainilla. 		Som a l'hivern, tanoques. 		-10	5	10	-5					5	-5
Hauríem de reunir-nos els divendres per menjar pizza i plantejar debats?	M'apunto. 		Crec que millor meditem. 		10	-5	-10	5					10	0
Hauríem de demanar diners als nostres membres?	Sí, tot el que puguin aportar ho han de fer. 		Per ara no el necessitem. 		-5	0	5	-5					-5	5
Hauríem de sortir a recaptar diners?	Sí, difongueu el vostre missatge, com més ens donin suport millor. 	Sí, i difongueu el nostre missatge.	De fet, com acte de fe, us ordeno que el robeu. 	Sí, però robeu-ho. 	5	-5	-5	5					0	5
Creiem que seria bona idea robar un banc, podem?	Què us creieu, la Secta del Paper? Baixeu dels núvols i recapteu bé els diners. 	Què us creieu, la Secta del Paper?	Confio en vosaltres, però, si us enxampen, no treballeu per mi. 	Endavant. 	10	-10	-10	10			1		-5	5
Podem escriure poesia?	És una forma perfecta d'explorar el vostre subconscient. 	Sí, us vindrà bé. 	Qui us creieu, Shakespeare? Jajaja. 	Qui us creieu, Shakespeare?	10	0	-5	0					10	-5
Podem estudiar història?	La història està formada per moltes mentides que no us podeu permetre creure. 	No, tot és una mentida. 	Bé, us donaré classes per ensenyar-vos-la. 	Bé, us l'ensenyaré jo. 	0	-5	0	5				1	-5	5
Hem pensat a pintar quadres per poder vendre'ls i recaptar diners per la comunitat, què et sembla?	Em sembla perfecte. 		D'acord, però busqueu gent amb talent. 	D'acord. 	10	5	-5	0					10	-10
Hauríem de celebrar reunions per ensenyar les nostres bases i cultura als nous integrants?	Sí, és important que estiguin informats. 		És que, pot ser, no serveixen les meves explicacions?		-5	0	5	0					5	-5
Ens ve de just jugar a la xarranca, podem?	Sí, podeu fer-ho al nostre jardí. 		No, no és una activitat productiva. 		5	0	-5	0					10	-5
S'ha parlat d'organitzar una competició d'esports anual i exclusiva per la nostra comunitat, ho aproves?	Podria ser divertit. Si podeu convidar a persones de fora millor i tot, potser aconseguim que se'ns uneixin. 	Podria ser divertit. 	No crec que l'esport ens ajudi a aconseguir els nostres objectius. 	No crec que l'esport ajudi.	10	0	-5	0					10	-5
Et sembla bé que intentem salvar als estudiants universitaris del sistema educatiu i de la societat actual?	Sí, és més fàcil convèncer-los en aquesta etapa de la vida. 	Sí, són perfectes. 	Sí, porteu-los encara que es resisteixin. Els reformarem. 	Sí, porteu-los encara que es resisteixin. 	10	5	5	10					5	-5
Volem realitzar un ritual per invocar a un ens poderós que ens guiï en el futur encara que s'hagi de sacrificar a algú, podem?	Sí, tot sacrifici pel bé de la nostra comunitat és benvingut. 	Sí, és un acte necessari. 	No val la pena. 		-10	10	10	-10	-1				-10	-5
Podem crear un canal de TuTube per donar visibilitat a la nostra comunitat i aconseguir més membres?	Mentre que ens ajudi a arribar a més possibles futurs membres, em sembla genial. 	Em sembla genial. 	No podem ficar-nos a les xarxes socials, és massa perillós. 	No podem. 	10	0	-10	0					5	-5
Alguns membres volen "invocar l'esperit del cunyat definitiu perquè ens expliqui què invertir en borsa", els deixes?	Clar, és important conèixer aquest tema.		No és el seu propòsit fer això. 		-5	10	10	-10					5	-5
Hem decidit que ens agradaria tenir una sessió espiritista per retrobar-nos amb ex-membres que s'han sacrificat per la nostra comunitat	Estaria bé poder tornar a connectar amb ells. 		Hauríem de deixar-los descansar, els veurem aviat de totes formes. 	Millor que no. 	-5	5	10	-5					10	-5
Alguns membres volen estafar iaies per trucada com a prova de lleialtat, creus que està bé?	Això és pitjor que moltes de les altres coses que hem fet, no?	No. 	Definitivament, crec que demostraria del que són capaços. 	Mostrarà la seva lleialtat, sí. 	0	-5	-5	5					-5	-5
Hem creat un ball per atraure la pluja, el podem fer?	Per descomptat, és un bon mètode per unir a la comunitat i atraure bones collites. 	Per descomptat. 	No m'agrada la idea, em sembla una bajanada. 	No. 	5	-5	5	-5					10	-10
Podem establir com activitat oficial veure anime?	Crec que us pot desviar de la realitat que estem construint. És massa fantasiós. 	Cerc que no us va bé. 	Sí! Jo també vull. 		-5	5	5	-5					-5	10
Quin joc va fer Willyrex?	QUIN JOC VA FER EL WILLYREX!!!		No sé de què em parles. Posa't a treballar. 		-5	5	5	-5					0	0
Podem especialitzar-nos en el control de l'aire?	Creieu que la vida és una sèrie?		Assoliu el límit de les vostres capacitats. 		5	-5	-5	5					-5	5
Hem pensat a crear reptes perquè els fidels els puguin superar, què n'opines sobre veure una pel·lícula dramàtica sense plorar?	Crec que definitivament serà un repte difícil. 		Hauríem de posar reptes més durs. 		5	-5	-5	5			1		5	-5
Podríem crear un videojoc per adoctrinar a més gent?	Sí, estan molt de moda a la societat actual, podríem mostrar-los els nostres missatges. 	Sí, estan bastant de moda. 	No hi haurà temps, s'aproxima la fi del món. Millor fer activitats més productives. 	Millor que no. 	-5	5	5	-5					10	-10
Diversos fidels pensen que els valors de lleialtat no s'estan ensenyant de forma correcta, hauríem de prendre cap mesura?	Que confiïn en el procés, l'acabaran entenent. 		Bé, doncs ensenyeu-los el que heu après els més fidels i experimentats. 	Ensenyeu-los-els. 	0	-5	0	5					-5	5
Creiem que hauríem de sacrificar els nostres peluixos més estimats per transmetre més les nostres energies en aquesta comunitat, estàs d'acord?	Definitivament, són objectes valuosos que beneficiaran les energies de la comunitat. 	Definitivament ens beneficiarà. 	Crec que els sacrificis haurien de ser d'éssers vius. 	Haurien de ser éssers vius. 	-5	-10	5	10					-5	-5
Hauríem de crear anuncis per promocionar la nostra comunitat?	Totes les formes en què puguem propagar el nostre missatge són benvingudes. 	Sí, vindrà bé. 	Millor que no, per ara treballem en més millores de la comunitat.	Millor que no. 	0	0	0	0	5				5	5
Un dels nostres membres està refredat, què hauríem de fer al respecte?	Podríeu posar-li un coixí sobre la cara. 	Poseu-li un coixí sobre la cara. 	Doneu-li la medicina adequada. 		-10	5	10	-5	-1				-5	5
Hauríem de difondre el missatge que l'enciam no és verd?	Definitivament. Ajudaria a fer que la gent pensés més enllà de les regles de la societat exterior. 	Definitivament. 	No, són verdes i punt. 		-10	10	10	-10					5	5
Les pilotes de tenis són grogues o verdes?	Grogues. 		Verdes. 		0	0	5	5					-5	-5
Hauríem de colar els nostres llibres en les llibreries i col·legis?	Em sembla perfecte. Així poden aprendre sobre una altra cultura. 	Em sembla perfecte. 	No, millor estudiem els seus llibres per entendre'ls millor i saber com fer que s'uneixin a nosaltres. 	No, intentem entendre els seus llibres. 	5	10	-5	-5					5	5
Podem crear un idioma?	NECESSITEM crear un idioma. 		No ens serviria de res. 		5	10	5	-5					10	-5
Quines tasques hauríem de fer?	Recluteu més membres. 		Obtingueu medicaments i menjar. 		-5	5	5	-5	10				0	5
Difonguem la paraula que les granotes són els déus dels rius?	Em sembla bé. 		No us ho autoritzo. 		0	5	5	-5					5	-5
Alguns volen sortir a discoteques, està permès?	D'acord, però que parlin bé de nosaltres als seus amics. 	D'acord. 	No, haurien de desconnectar els seus vincles amb la societat el màxim possible. 	Han de desconnectar de la societat. 	10	-10	-10	10					5	-5
Podem crear una salutació exclusiva pels membres?	Definitivament. 		Òbviament, sí. 		0	0	5	5					10	5
Diversos membres volen robar cotxes i destruir-los per reduir la contaminació del món, com ho veus?	No veig perquè no. 		Això pot sortir bastant malament. 		-5	5	5	-5					5	-5
La resta de membres diuen que 2+2 és 5, els crec?	Sí. 		No. 		-10	10	10	-10					0	0
Lucius diu que vol arriscar la seva vida per la comunitat, la deixem?	Que realitzi un acte valent i que les bones energies l'acompanyin. 	Sí, que sigui valent. 	No podem perdre un membre així. Que no ho faci. 	No podem perdre un membre així. 	-10	10	10	-10	-1				-10	10
Podríem dedicar un dia per manifestar intencions pel nostre grup?	Sí, vindria bé per tenir millor sort. 		Millor no, així no aconseguirem res. 		0	0	5	0					10	-10
Creiem que és important tenir en compte que les aus són robots controlats pel govern, estàs d'acord?	Per descomptat, millor prevenir que curar. 		Esteu "delulu", deixeu d'inventar teories conspiranoiques. 	No sigueu conspiranoics. 	-5	5	5	-5					5	0
Si alimentem a una vaca amb pinya, sortirà la llet dolça?	Sí, fem-ho. 		Ni se t'acudeixi, no siguis porc. 		-5	5	5	-5					5	-5
Modoka vol ser una nena màgica, li ho permets?	Per descomptat, que es converteixi en una noia màgica. 		Millor que no, Homora estaria trista. 		-5	5	5	-5					5	-5
I si fusionem a una nena amb el seu gos?	Per descomptat. Crear quimeres em sembla genial, què podria sortir malament?	Per descomptat. 	Allunya't de la nena. 		-5	10	10	-5					-5	-5
Hauríem de preparar un sopar final per la fi del món?	Sí, preparin els seus verins. 		Tenia pensat celebrar-ho mitjançant un ball final. 	Prefereixo celebrar-ho amb un ball final. 	0	5	10	-10					5	10
Fem un torneig i que el premi sigui una armadura?	Pegasus Fantasy!		No, hauria de ser un millor premi. 		-5	5	5	-5					10	-5
Alguns membres semblen interessats per un joc anomenat League of Loosers, els ho permetem?	Per descomptat, però recordeu que tot serà culpa sempre del jungla. 	Per descomptat. 	No ho permeto, la gent que entra allà no surt mai... Es casi com una secta. 	Millor que no es fiquin en això. 	-10	10	10	-10					5	-5
														
														
														
														
														
														
														
Bon dia, hauríem de buscar nous membres per fer créixer la nostra secta, com les busquem?	Poseu pamflets per la ciutat.		Sortiu amb una pancarta d'abraçades gratis i parleu-los sobre la nostra comunitat. 		0	0	0	0	5	10			5	10
Què més podríem fer?	Porteu-me més suggeriments de mesures que podríem implementar perquè la gent sigui més feliç i poder atraure més membres. 		Apanyeu-vos. 		-5	5	5	0	10	5			5	-5
