Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2
We would like to make more spaghetti dishes, do you fancy it?	Yum, yum! Spaghetti! of course, of course.	Of course, of course.	I'm not really a fan. 	I am not a fan.
Did you like our chocolate cake?	Yeah, you should do more.	Yes.	Better give me money next time.	I prefer money.
There are many orphaned children, maybe we can save them?	Rescue as many as you can, but don't get caught.	Do it, rescue them.	It would be too many children, better not.	Better not.
We have thought about entering companies to indoctrinate employees, do you give us permission?	I trust you.		It's too complex of a task.	
Can we meet at a swimming pool and bring ice cream for everyone?	It'll be fun, let me have the vanilla ice cream.		It's winter, you crumbs. 	
Should we meet on Fridays for pizza and debates?	I'm in.		I think we'd better meditate.	
Should we ask our members for money?	Yes, whatever they can contribute they should contribute.		We don't need it for now.	
Should we go out and raise money?	Yes, and spread our message, the more people who support us the better.	Yes, and spread our message.	In fact, as an act of faith, I command you to steal it.	Yes, but steal it.
We think it would be a good idea to rob a bank, can we?	What do you think you are, the Paper Sect? Come down from the clouds and raise money well.	What do you think you are, the Paper Sect?	I trust you, but if you get caught you don't work for me.	Go ahead.
Can we write poetry?	It is a perfect way to explore your subconscious.	Yes, it will do you good.	Who do you think you are, Shakespeare? Haha.	Who are you, Shakespeare?
Can we study history?	History is made up of many lies that you cannot afford to believe.	No, it's all a lie.	Well, I will give you lessons to teach it to you.	Well, I'll show it to you.
We have thought about painting pictures so we can sell them and raise money for the community, what do you think?	I think it's perfect. 		Okay, but look for talented people.	Okay, but talented people.
Should we hold meetings to teach our bases and culture to new members?	Yes, it is important for them to be informed.		Are my explanations useless?	
We feel like playing hopscotch, can we?	Yes, you can do it in our garden.		No, it is not a productive activity.	
There has been talk of organizing an annual sports competition exclusive to our community, do you approve?	It could be fun. If you can invite people from outside even better, maybe we can get them to join.	It could be fun.	I don't believe that sports help us meet our goals.	I don't think the sport helps.
Are you okay with us trying to save college students from the current educational system and society?	Yes, it is easier to convince them at this stage of their life.	Yes, they are perfect.	Yes, bring them in even if they resist. We will reform them.	Yes, bring them in even if they resist.
We want to perform a ritual to invoke a powerful entity to guide us in the future even if we have to sacrifice someone, can we?	Yes, every sacrifice for the good of our community is welcome.	Yes, it is a necessary act.	It is not worth it.	
Can we create a TuTube channel to give visibility to our community and get more members?	As long as it helps reach more potential future members, I think it's great.	I think it's great.	We can't get into social networks, it's too dangerous.	We can't do it 
Some members want to "invoke the spirit of the ultimate brother-in-law to explain what to invest in the stock market", will you let them?	Of course, it is important to be aware of this issue.		It is not their purpose to do that.	
We have decided that we would like to have a spiritualistic session to reconnect with former members who have sacrificed for our community.	It would be nice to reconnect with them.		We should let them rest, we will see them soon anyway.	Better not.
Some members want to scam grannies by call as proof of loyalty, do you think it's ok?	That's worse than a lot of the other things we've done, no.	No	I definitely think it would show what they are capable of.	He will prove his loyalty, yes.
We have created a dance to attract rain, can we do it?	Sure, it's a good way to unite the community and attract good harvests.	Of course.	I don't like the idea, I think it's stupid and it won't work.	No.
Can we establish watching anime as an official activity?	I think it may divert you from the reality we are building. It is too fanciful.	I don't think it suits you.	Yes! I want to too.	
What game did Willyrex make?	WHAT GAME DID WILLYREX MAKE???!!!!		I don't know what you're talking about. Get to work.	
Can we specialize in air control?	Do you think life is a series?		Reach the limit of your capabilities.	
We have thought of creating challenges for the faithful to overcome, what do you think of watching a dramatic movie without crying in the attempt?	I think it will definitely be a tough challenge.		We should set tougher challenges.	
Could we create a video game to indoctrinate more people?	Yes, they are very fashionable in today's society, we could show them our messages.	Yes, they are very fashionable.	There won't be time, the end of the world is near. Better to do more productive activities.	Better not.
Several of the faithful think that the values of loyalty are not being taught in the right way, should we take any action?	Let them trust the process, they will come to understand it.		Well, teach them what you, the most faithful and knowledgeable of you, have learned.	Well, teach them
We think we should sacrifice our most precious stuffed animals to transmit more of our energies in this community, do you agree?	They are definitely precious objects that will benefit the energies of the community.	It will definitely benefit us.	I believe that sacrifices should be of living beings.	They should be living beings.
Should we create ads to promote our community?	All ways in which we can spread our message are welcome.	Yes, it will be good.	Better not, let's work more on community improvements for now.	Better not.
One of our members has a cold, what should we do about it?	You could put a pillow over his head.	 Put a pillow over his head.	Give him the proper medicine.	
Should we spread the message that lettuces are not green?	Definitely. It would help people think beyond the rules of the outside society.	Definitely	No, they are green, period.	
Are tennis balls yellow or green?	They're yellow		They're green	
Should we sneak our books in bookstores and schools?	I think it's perfect. This way they can learn about another culture.	I think it's perfect.	No, let's study their books to better understand them and how to get them to join us.	No, let's try to understand his books.
Can we create a language?	We NEED to create a language.		It wouldn't do us any good.	
What tasks should we do?	Recruit more members.		Obtain medicines and food	
Spread the word that frogs are the gods of rivers	Sounds good to me.		I don't authorize it.	
Some people want to go out to discos, is it allowed?	Okay, but let them speak well of us to their friends.	Okay	No, they should disconnect their links with society as much as possible.	They must disconnect from society.
Can we create an exclusive greeting for members?	Of course.		Obviously yes.	
Several members want to steal cars and destroy them to reduce pollution in the world, how do you see it?	I don't see why not.		That can go quite wrong.	
The other members say that 2+2 is 5, do I believe them?	Yes.		No.	
Lucius says he wants to risk his life for the community, shall we let her?	May she perform a courageous act and may good energies accompany her.	Yes, be brave.	We can't lose a member like that. Don't let him do it.	We cannot lose a member like this.
Could we dedicate a day to express intentions for our group?	Yes, it will be good for better luck.		Better not, this way we won't achieve anything.	
We think it is important to keep in mind that the birds are robots controlled by the government, do you agree?	Of course, prevention is better than cure.		You are "delulu", stop inventing conspiracy theories.	Don't be conspiratorial
If we feed pineapple to a cow, will it produce sweet milk?	Yes, let's do it!!		Don't even think about it. Don't be dirty	
Modoka wants to be a magical girl, do you allow it?	Sure, let her become a magical girl.		Better not, Homora would be sad.	
What if we fuse a little girl with her dog?	Sure. Creating chimeras sounds great to me, what could go wrong? 	Sure.	Stay away from the little girl.	
Should we prepare a final dinner for the end of the world?	Yes, get your poisons ready.		I had planned to celebrate with a final dance.	I prefer to celebrate with a final dance.
Can we make a tournament and the prize is a suit of armour?	Pegasus Fantasy!!	Sure...	No, it should be a better reward.	
Some members seems to be interested in a game called League of Losers, shall we allow it?	Sure, but remember that EVERYTHING will always be the jungle's fault.	Sure.	I don't allow it, people who go in there never come out.... It's almost like a cult.	They better stay out of it.
