Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2	IntR1	IntR2	LocR1	LocR2	VarMiem1	VarMiem2	ComodínR1	ComodínR2	FelicidadResp1	FelicidadResp2
Deberíamos crear anuncios para promocionar nuestra comunidad?	Todas las formas en las que podamos propagar nuestro mensaje son bienvenidas.	Sí, vendrá bien.	Mejor no, trabajemos más en mejoras de la comunidad por ahora.	Mejor no.	0	0	0	0	5				5	5
Uno de nuestros miembros está resfriado, qué deberíamos hacer al respecto?	Podríais ponerle una almohada encima de la cabeza.	 Ponedle una almohada sobre la cabeza.	Dadle la medicina adecuada.		-10	5	10	-5	-1				-5	5
¿Deberíamos difundir el mensaje de que las lechugas no son verdes?	Definitivamente. Ayudaría a que la gente piense más allá de las reglas de la sociedad exterior.	Definitivamente.	No, son verdes y punto.		-10	10	10	-10					5	5
¿Las bolas de tenis son amarillas o verdes?	Amarillas.		Verdes.		0	0	5	5					-5	-5
Deberíamos colar nuestros libros en librerías y colegios?	Me parece perfecto. Así pueden aprender sobre otra cultura.	Me parece perfecto.	No, mejor estudiemos sus libros para entenderles mejor y saber cómo hacer que se unan a nosotros.	No, intentemos entender sus libros.	5	10	-5	-5					5	5
Podemos crear un idioma?	NECESITAMOS crear un idioma.		No nos serviría de nada.		5	10	5	-5					10	-5
¿Qué tareas deberíamos hacer?	Reclutad más miembros.		Obtened medicamentos y comida.		-5	5	5	-5	10				0	5
Difundamos la palabra de que las ranas son los dioses de los ríos	Me parece bien.		No os lo autorizo.		0	5	5	-5					5	-5
Algunos quieren salir a discotecas, está permitido?	Vale, pero que hablen bien de nosotros a sus amigos.	Vale.	No, deberían desconectar sus lazos con la sociedad lo más posible.	Deben desconectar de la sociedad.	10	-10	-10	10					5	-5
Podemos crear un saludo exclusivo para los miembros?	Definitivamente.		Obviamente sí.		0	0	5	5					10	5
Varios miembros quieren robar coches y destruirlos para reducir la contaminación del mundo, cómo lo ves?	No veo por qué no.		Eso puede salir bastante mal.		-5	5	5	-5					5	-5
El resto de miembros dicen que 2+2 es 5, les creo?	Sí.		No.		-10	10	10	-10					0	0
Lucius dice que quiere arriesgar su vida por la comunidad, la dejamos?	Que realice un acto valiente y que las buenas energías la acompañen.	Sí, que sea valiente.	No podemos perder una miembro así. Que no lo haga.	No podemos perder una miembro así.	-10	10	10	-10	-1				-10	10
Podríamos dedicar un día para manifestar intenciones para nuestro grupo?	Sí, vendrá bien para tener mejor suerte.		Mejor no, así no conseguiremos nada.		0	0	5	0					10	-10
Creemos que es importante tener en cuenta que las aves son robots controlados por el gobierno, estás de acuerdo?	Claro, mejor prevenir que curar. 		Estáis delulus, dejad de inventar teorías conspiranoicas.	No seais conspiranoicos.	-5	5	5	-5					5	0
Si alimentamos a una vaca con piña, le saldrá leche dulce?	Sí, hagámoslo.		Ni se te ocurra. No seas cerdo.		-5	5	5	-5					5	-5
Modoka quiere ser una chica mágica, lo permites?	Claro, que se convierta en chica mágica.		Mejor no, Homora estaría triste.		-5	5	5	-5					5	-5
Y si fusionamos a una niña con su perro?	Claro. Crear quimeras me parece genial, ¿qué podría salir mal? 	Claro.	Aléjate de la niña.		-5	10	10	-5					-5	-5
Deberíamos preparar una cena final para el fin del mundo?	Sí, preparen sus venenos.		Tenía pensado celebrarlo mediante un baile final.	Prefiero celebrarlo con un baile final.	0	5	10	-10					5	10
¿Hacemos un torneo y que el premio sea una armadura?	¡¡Pegasus Fantasy!!		No, debería ser un mejor premio.		-5	5	5	-5					10	-5
Algunos miembros parecen interesados por un juego llamado League of Losers, lo permitimos?	Claro, pero recordad que todo será culpa del jungla siempre.	Claro.	No lo permito, la gente que entra ahí nunca sale... Es casi como una secta.	Mejor que no se metan en eso.	-10	10	10	-10					5	-5
